date,symbol,action,quantity
2024-01-01,GC=F,buy,43
2024-01-01,SI=F,buy,23
2024-01-01,GC=F,sell,32
2024-01-01,SI=F,buy,16
2024-01-01,CL=F,buy,7
2024-01-01,CL=F,buy,3
2024-01-01,CL=F,buy,5
2024-01-01,GC=F,sell,20
2024-01-01,CL=F,buy,4
2024-01-02,GC=F,sell,29
2024-01-02,GC=F,sell,74
2024-01-02,SI=F,sell,99
2024-01-02,GC=F,buy,42
2024-01-02,CL=F,sell,62
2024-01-02,GC=F,sell,17
2024-01-02,CL=F,sell,32
2024-01-03,GC=F,sell,34
2024-01-03,CL=F,sell,11
2024-01-03,CL=F,sell,42
2024-01-03,GC=F,buy,41
2024-01-03,GC=F,buy,32
2024-01-03,GC=F,buy,43
2024-01-03,SI=F,buy,27
2024-01-03,CL=F,sell,77
2024-01-03,CL=F,sell,43
2024-01-04,GC=F,sell,69
2024-01-04,CL=F,sell,37
2024-01-04,GC=F,sell,61
2024-01-04,SI=F,sell,52
2024-01-05,GC=F,buy,9
2024-01-05,CL=F,sell,71
2024-01-05,GC=F,buy,28
2024-01-05,CL=F,sell,70
2024-01-05,GC=F,buy,43
2024-01-05,CL=F,sell,35
2024-01-06,CL=F,sell,10
2024-01-06,CL=F,buy,48
2024-01-06,CL=F,sell,17
2024-01-06,GC=F,buy,41
2024-01-06,GC=F,buy,26
2024-01-06,SI=F,buy,40
2024-01-06,CL=F,buy,12
2024-01-06,SI=F,buy,13
2024-01-07,CL=F,sell,42
2024-01-07,GC=F,buy,15
2024-01-07,CL=F,buy,43
2024-01-07,CL=F,sell,61
2024-01-07,SI=F,buy,44
2024-01-08,SI=F,sell,25
2024-01-08,GC=F,buy,13
2024-01-08,SI=F,sell,18
2024-01-08,CL=F,buy,30
2024-01-09,CL=F,buy,30
2024-01-09,GC=F,sell,93
2024-01-10,CL=F,buy,12
2024-01-10,GC=F,sell,14
2024-01-10,GC=F,sell,63
2024-01-10,CL=F,sell,72
2024-01-10,CL=F,buy,30
2024-01-10,GC=F,buy,28
2024-01-10,GC=F,sell,60
2024-01-10,GC=F,buy,4
2024-01-10,SI=F,buy,5
2024-01-11,CL=F,sell,19
2024-01-11,CL=F,sell,66
2024-01-11,CL=F,buy,36
2024-01-11,GC=F,sell,15
2024-01-11,SI=F,sell,63
2024-01-12,CL=F,sell,31
2024-01-12,CL=F,buy,21
2024-01-12,CL=F,sell,61
2024-01-12,CL=F,sell,37
2024-01-12,CL=F,buy,36
2024-01-12,CL=F,buy,20
2024-01-13,GC=F,buy,34
2024-01-13,CL=F,sell,32
2024-01-13,GC=F,sell,24
2024-01-13,GC=F,buy,3
2024-01-13,CL=F,buy,21
2024-01-13,GC=F,sell,100
2024-01-13,GC=F,sell,74
2024-01-14,GC=F,sell,23
2024-01-14,SI=F,sell,66
2024-01-14,GC=F,sell,92
2024-01-14,CL=F,sell,22
2024-01-15,CL=F,sell,85
2024-01-15,GC=F,buy,21
2024-01-15,CL=F,buy,17
2024-01-15,SI=F,sell,39
